gr,richness,caption,colour,shape,opacity,size
O21A,863,Number of taxa: 863,#B7AD13,circle,0.9,0.9
Q61A,574,Number of taxa: 574,#BCC812,circle,0.9,0.9
Q80A,414,Number of taxa: 414,#C1E311,circle,0.9,0.9
Q81A,570,Number of taxa: 570,#BCC812,circle,0.9,0.9
Q91A,322,Number of taxa: 322,#C1E311,circle,0.9,0.9
R02A,303,Number of taxa: 303,#C1E311,circle,0.9,0.9
R04A,510,Number of taxa: 510,#BCC812,circle,0.9,0.9
R05A,265,Number of taxa: 265,#C1E311,circle,0.9,0.9
R25A,779,Number of taxa: 779,#B7AD13,circle,0.9,0.9
R26A,307,Number of taxa: 307,#C1E311,circle,0.9,0.9
R37A,574,Number of taxa: 574,#BCC812,circle,0.9,0.9
R38A,577,Number of taxa: 577,#BCC812,circle,0.9,0.9
R46A,447,Number of taxa: 447,#C1E311,circle,0.9,0.9
R59A,406,Number of taxa: 406,#C1E311,circle,0.9,0.9
R61A,476,Number of taxa: 476,#C1E311,circle,0.9,0.9
R68A,488,Number of taxa: 488,#C1E311,circle,0.9,0.9
R75A,497,Number of taxa: 497,#C1E311,circle,0.9,0.9
R78A,565,Number of taxa: 565,#BCC812,circle,0.9,0.9
R79A,520,Number of taxa: 520,#BCC812,circle,0.9,0.9
R80A,542,Number of taxa: 542,#BCC812,circle,0.9,0.9
R83A,467,Number of taxa: 467,#C1E311,circle,0.9,0.9
R90A,477,Number of taxa: 477,#C1E311,circle,0.9,0.9
R92A,450,Number of taxa: 450,#C1E311,circle,0.9,0.9
S00A,505,Number of taxa: 505,#BCC812,circle,0.9,0.9
S02A,470,Number of taxa: 470,#C1E311,circle,0.9,0.9
S09A,484,Number of taxa: 484,#C1E311,circle,0.9,0.9
