gr,freq,shape,colour,opacity,size
N95,8,circle,black,0.8,1
N96,4,circle,black,0.8,1
N97,2,circle,black,0.8,1
N98,3,circle,black,0.8,1
N99,4,circle,black,0.8,1
NA91,3,circle,black,0.8,1
NA92,1,circle,black,0.8,1
NB00,6,circle,black,0.8,1
NB01,1,circle,black,0.8,1
NB02,1,circle,black,0.8,1
NB03,13,circle,black,0.8,1
NB10,12,circle,black,0.8,1
NB11,2,circle,black,0.8,1
NB12,3,circle,black,0.8,1
NB13,6,circle,black,0.8,1
NB14,2,circle,black,0.8,1
NB20,3,circle,black,0.8,1
NB21,5,circle,black,0.8,1
NB22,3,circle,black,0.8,1
NB23,10,circle,black,0.8,1
NB24,5,circle,black,0.8,1
NB31,6,circle,black,0.8,1
NB32,11,circle,black,0.8,1
NB33,8,circle,black,0.8,1
NB34,4,circle,black,0.8,1
NB35,4,circle,black,0.8,1
NB41,2,circle,black,0.8,1
NB42,1,circle,black,0.8,1
NB43,15,circle,black,0.8,1
NB44,3,circle,black,0.8,1
NB45,5,circle,black,0.8,1
NB46,2,circle,black,0.8,1
NB53,8,circle,black,0.8,1
NB54,5,circle,black,0.8,1
NB55,4,circle,black,0.8,1
NB56,9,circle,black,0.8,1
NB90,3,circle,black,0.8,1
NB91,1,circle,black,0.8,1
NC00,2,circle,black,0.8,1
NC01,4,circle,black,0.8,1
NC02,14,circle,black,0.8,1
NC03,12,circle,black,0.8,1
NC10,5,circle,black,0.8,1
NC11,4,circle,black,0.8,1
NC12,10,circle,black,0.8,1
NC13,12,circle,black,0.8,1
NC14,13,circle,black,0.8,1
NC15,1,circle,black,0.8,1
NC16,1,circle,black,0.8,1
NC20,3,circle,black,0.8,1
NC21,12,circle,black,0.8,1
NC22,12,circle,black,0.8,1
NC23,11,circle,black,0.8,1
NC24,11,circle,black,0.8,1
NC25,15,circle,black,0.8,1
NC26,2,circle,black,0.8,1
NC27,3,circle,black,0.8,1
NC30,13,circle,black,0.8,1
